model_type,model,goal_type,game_type,succeed_count,total_solver_errors,total_solver_fixed,total_simulation_errors,total_simulation_fixed,total_abort_solver,total_abort_simulation,avg_steps_success,avg_steps_failure,trial_count
baseline_multiple_actions,gpt-4.1-2025-04-14,detailed,5,19,0.0,0.0,22.0,21.0,0.0,1.0,2.6315789473684212,2.0,20
baseline_multiple_actions,gpt-4.1-2025-04-14,detailed,7,19,0.0,0.0,33.0,32.0,0.0,1.0,4.157894736842105,5.0,20
baseline_multiple_actions,gpt-4.1-2025-04-14,detailed,9,17,0.0,0.0,35.0,32.0,0.0,3.0,4.352941176470588,4.666666666666667,20
baseline_multiple_actions,gpt-4.1-2025-04-14,detailed,11,16,0.0,0.0,38.0,34.0,0.0,4.0,4.75,6.0,20
non_error_fixing,deepseek,detailed,3,0,,,,,,,,1.6,20
non_error_fixing,deepseek,detailed,5,2,,,,,,,1.5,2.2777777777777777,20
non_error_fixing,deepseek,detailed,7,2,,,,,,,1.5,2.5555555555555554,20
non_error_fixing,deepseek,detailed,9,1,,,,,,,1.0,3.0,20
non_error_fixing,deepseek,detailed,11,0,,,,,,,,3.2,20
non_error_fixing,deepseek,subgoal,3,2,,,,,,,1.0,1.2222222222222223,20
non_error_fixing,deepseek,subgoal,5,1,,,,,,,2.0,1.5263157894736843,20
non_error_fixing,deepseek,subgoal,7,0,,,,,,,,1.95,20
non_error_fixing,deepseek,subgoal,9,1,,,,,,,1.0,1.105263157894737,20
non_error_fixing,deepseek,subgoal,11,1,,,,,,,1.0,1.631578947368421,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,3,2,,,,,,,1.5,1.7222222222222223,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,5,3,,,,,,,2.3333333333333335,2.0588235294117645,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,7,4,,,,,,,3.5,3.1875,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,9,3,,,,,,,2.3333333333333335,3.2941176470588234,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,11,0,,,,,,,,2.15,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,3,1,,,,,,,2.0,1.5789473684210527,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,5,1,,,,,,,2.0,2.1052631578947367,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,7,3,,,,,,,3.0,2.235294117647059,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,9,3,,,,,,,2.0,2.235294117647059,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,11,1,,,,,,,2.0,3.8947368421052633,20
non_error_fixing,gpt-4o-2024-05-13,detailed,3,1,,,,,,,1.0,2.6315789473684212,20
non_error_fixing,gpt-4o-2024-05-13,detailed,5,1,,,,,,,1.0,1.8421052631578947,20
non_error_fixing,gpt-4o-2024-05-13,detailed,7,2,,,,,,,1.5,1.9444444444444444,20
non_error_fixing,gpt-4o-2024-05-13,detailed,9,0,,,,,,,,2.25,20
non_error_fixing,gpt-4o-2024-05-13,detailed,11,0,,,,,,,,2.6,20
non_error_fixing,gpt-4o-2024-05-13,subgoal,3,2,,,,,,,1.0,1.5,20
non_error_fixing,gpt-4o-2024-05-13,subgoal,5,0,,,,,,,,1.55,20
non_error_fixing,gpt-4o-2024-05-13,subgoal,7,2,,,,,,,1.0,1.3333333333333333,20
non_error_fixing,gpt-4o-2024-05-13,subgoal,9,0,,,,,,,,1.35,20
non_error_fixing,gpt-4o-2024-05-13,subgoal,11,1,,,,,,,2.0,1.9473684210526316,20
non_error_fixing,o3-mini-2025-01-31,detailed,3,12,,,,,,,1.75,1.75,20
non_error_fixing,o3-mini-2025-01-31,detailed,5,12,,,,,,,2.75,2.0,20
non_error_fixing,o3-mini-2025-01-31,detailed,7,7,,,,,,,2.4285714285714284,3.8461538461538463,20
non_error_fixing,o3-mini-2025-01-31,detailed,9,8,,,,,,,2.875,5.333333333333333,20
non_error_fixing,o3-mini-2025-01-31,detailed,11,10,,,,,,,3.0,11.4,20
non_error_fixing,o3-mini-2025-01-31,subgoal,3,13,,,,,,,1.7692307692307692,2.0,20
non_error_fixing,o3-mini-2025-01-31,subgoal,5,6,,,,,,,2.3333333333333335,4.071428571428571,20
non_error_fixing,o3-mini-2025-01-31,subgoal,7,4,,,,,,,2.25,3.6875,20
non_error_fixing,o3-mini-2025-01-31,subgoal,9,4,,,,,,,2.25,4.5,20
non_error_fixing,o3-mini-2025-01-31,subgoal,11,5,,,,,,,3.6,6.466666666666667,20
non_error_fixing,o4-mini-2025-04-16,detailed,3,3,,,,,,,1.6666666666666667,1.0,4
non_error_fixing,o4-mini-2025-04-16,detailed,5,2,,,,,,,2.0,2.5,4
non_error_fixing,o4-mini-2025-04-16,detailed,7,3,,,,,,,4.666666666666667,6.0,4
non_error_fixing,o4-mini-2025-04-16,detailed,9,3,,,,,,,3.6666666666666665,3.0,4
non_error_fixing,o4-mini-2025-04-16,detailed,11,0,,,,,,,,8.75,4
